pdb,total_sasa,rl
seq_000383_model_0.pdb,8882.48878122628,6.85119209072
seq_000384_model_0.pdb,9627.70761889847,3.59202016293
seq_000385_model_0.pdb,9827.76098277287,7.63888766461
seq_000386_model_0.pdb,9036.952360240606,4.3862279933
seq_000387_model_0.pdb,9244.629662720945,3.16685869245
seq_000388_model_0.pdb,8797.58743730007,4.15266224861
seq_000389_model_0.pdb,9281.699450573438,3.19230305324
seq_000390_model_0.pdb,9727.575160159064,3.0488111551
seq_000391_model_0.pdb,9360.548021000252,3.10263272908
seq_000392_model_0.pdb,9508.353723221036,3.54728417556
seq_000393_model_0.pdb,9800.718491949883,5.43184979247
seq_000394_model_0.pdb,9316.108734434592,4.10719644841
seq_000395_model_0.pdb,9608.019002052144,4.65187436087
seq_000396_model_0.pdb,9937.929720519422,3.92685589803
seq_000397_model_0.pdb,9668.387098303128,5.95802317519
seq_000398_model_0.pdb,9808.297697305376,4.26813790953
seq_000399_model_0.pdb,10203.449848712742,3.93865411744
seq_000400_model_0.pdb,8961.32877329597,4.81256585701
seq_000401_model_0.pdb,9704.911037697755,3.36678354954
seq_000402_model_0.pdb,9849.84387068398,5.64582246408
seq_000403_model_0.pdb,8570.910436985607,3.04335151561
seq_000404_model_0.pdb,9553.708887700976,8.05285613372
seq_000405_model_0.pdb,9871.19817509571,7.71473939259
seq_000406_model_0.pdb,9546.810561953233,3.50616971232
seq_000407_model_0.pdb,9737.083056732848,3.59581122318
seq_000408_model_0.pdb,8721.722170966126,7.70923191724
seq_000409_model_0.pdb,9913.835063630482,4.63603907582
seq_000410_model_0.pdb,9032.70781332702,3.62153536007
seq_000411_model_0.pdb,9206.913205244602,7.85712309496
seq_000412_model_0.pdb,8626.698115291767,8.49916022511
seq_000413_model_0.pdb,8806.195634652662,2.64377588131
seq_000414_model_0.pdb,8767.633513773073,3.21953076413
seq_000415_model_0.pdb,8696.444728294506,3.50524747009
seq_000416_model_0.pdb,9688.213990473365,3.59088612802
seq_000417_model_0.pdb,9087.971861034172,8.25492556396
seq_000418_model_0.pdb,9090.803417445,3.07952586641
seq_000419_model_0.pdb,9758.771076772777,4.02422063758
seq_000420_model_0.pdb,9235.365622051231,3.39545295968
seq_000421_model_0.pdb,9580.79887504336,3.34709719858
seq_000422_model_0.pdb,8692.243259588571,2.94365869683
seq_000423_model_0.pdb,9424.388036703056,3.74971634968
seq_000424_model_0.pdb,9385.88041469482,4.63801781694
seq_000425_model_0.pdb,9244.745671817587,2.99641641317
seq_000426_model_0.pdb,9124.913208520618,3.61007445436
seq_000427_model_0.pdb,9594.046433532092,3.37143998776
seq_000428_model_0.pdb,8638.451359032635,3.40500834157
seq_000429_model_0.pdb,9859.494109573674,4.44844491838
seq_000430_model_0.pdb,8955.486599194131,7.39282439478
seq_000431_model_0.pdb,9413.882408203124,3.68642218728
seq_000432_model_0.pdb,10009.802371478834,3.09765726954
seq_000433_model_0.pdb,9571.246948276936,6.08945370149
seq_000434_model_0.pdb,9797.35810017111,3.16552125797
seq_000435_model_0.pdb,9692.963071818049,3.88813830308
seq_000436_model_0.pdb,8962.90318740199,4.13557187406
seq_000437_model_0.pdb,9797.788313838037,3.81118876052
seq_000438_model_0.pdb,9591.87653047736,4.03232810284
seq_000439_model_0.pdb,8844.04861188943,3.17382924524
seq_000440_model_0.pdb,9912.994435616089,8.13879619584
seq_000441_model_0.pdb,9692.193368008191,5.16250097792
seq_000442_model_0.pdb,9060.376566063698,3.40793164755
seq_000443_model_0.pdb,9338.949471234328,2.92494210588
seq_000444_model_0.pdb,8728.314329157809,3.71503523091
seq_000445_model_0.pdb,9568.151895319215,3.92820635206
seq_000446_model_0.pdb,8909.397236899025,2.86249306977
seq_000447_model_0.pdb,9593.033788168686,7.95158590021
seq_000448_model_0.pdb,9755.06166098339,4.19670789576
seq_000449_model_0.pdb,9401.44709409004,5.34039154786
seq_000450_model_0.pdb,9200.22666442884,3.34606793075
seq_000451_model_0.pdb,9394.20914868941,2.6636083777
seq_000452_model_0.pdb,9917.896382276707,3.38946329795
seq_000453_model_0.pdb,9690.709475641712,2.97550509971
seq_000454_model_0.pdb,10278.400650228006,7.99662192031
seq_000455_model_0.pdb,8680.926831253832,7.74219280594
seq_000456_model_0.pdb,9277.002553779888,3.27196445627
seq_000457_model_0.pdb,9792.949104486874,2.84036753407
seq_000458_model_0.pdb,9419.097515832758,4.76641116773
seq_000459_model_0.pdb,10145.7822765626,4.47406768848
seq_000460_model_0.pdb,9486.197982778633,3.54958601923
seq_000461_model_0.pdb,8663.747618249676,3.81968982715
seq_000462_model_0.pdb,9102.129149510916,3.52017082275
seq_000463_model_0.pdb,9613.805255814805,3.03036104695
seq_000464_model_0.pdb,9321.871639259434,3.34638487946
seq_000465_model_0.pdb,9342.26593627996,4.01002974109
seq_000466_model_0.pdb,9014.373240230016,3.52114467157
seq_000467_model_0.pdb,9931.387025772168,2.7310700362
seq_000468_model_0.pdb,9000.44521753972,5.22175628595
seq_000469_model_0.pdb,9456.477053817722,8.17368240888
seq_000470_model_0.pdb,9425.921820595717,4.25816001087
