rl,E_relaxed
4.4403941282,-13197.5261060399
2.77080430934,-12438.9672715912
2.83029711232,-12183.439322328
7.08772094146,-12320.8576796271
2.94289257284,-12756.1639131399
4.87787291168,-13708.017854912
7.66417499886,2309642007.91868
3.29477123406,-9353.67312312051
4.9695164647,-12744.1908414092
5.79178733277,-10133.7432698966
3.75329993599,-12799.8075273739
3.14382718005,-10993.471805812
5.78514130986,32884589.1765658
5.77358908648,-10512.4762221885
3.66401229647,-12691.6735485356
2.77905400041,-13558.8653833744
4.42358034106,-15439.1705892536
3.64540958124,-15368.6380673086
2.8906980355,-10885.2651130175
3.04779590109,-13777.5782703763
4.25391280174,310659.908178721
3.26075365096,-9831.1717931079
5.33047212051,-12875.3022070285
3.22450674694,-9438.743396986
3.6085675434,-17720.4627204517
3.91544759502,-11844.0504894784
3.86909666582,-7325.54265464188
4.21296319557,-10106.2000420258
6.35144463939,-12376.9738331135
3.5545213951,-13720.5005415319
7.82158387149,-9780.96262029407
3.8205966859,-12274.0131563856
2.9871509493,-13759.2499549468
6.69199528708,-14277.3790030807
3.96815429292,-18012.1122017736
5.84490678757,-10575.5944000685
2.54461284232,-13828.7454236018
6.89846677614,-15830.2791934757
7.01346907673,-10378.7424931542
4.2518530522,-9068.02210969165
7.95775714371,-13655.0489274307
3.44015466844,-10995.4447467959
6.31153856324,-10822.7271523584
7.69654629618,-15184.3848372634
3.21344320603,-10667.0676795254
4.02821693363,952207012.532346
3.98754072289,-15230.4307777352
5.69135826665,-6924.90669651587
3.70309468856,852.102327227676
3.17267598957,20367.3833639719
7.37229930698,9151.5174354116
4.43641539808,-12395.1902542702
3.16729871277,-12695.5202122158
4.37256964516,-10267.8630531379
3.13060321351,-14727.4873733269
7.99727350915,-15268.0459971406
4.15806803287,-12508.7593855423
3.28358606039,-10818.6554463402
6.41264055741,-8139.42001439628
4.08374589111,-12233.8268772565
4.73704449217,-8425.86163898162
6.74729667313,-16962.6094732965
3.00268763754,-11070.757075952
8.03433455643,-15052.1122578465
3.60662120586,-9155.70732858096
5.18763125777,2886.855951759
8.22286244862,4376.96711411626
4.40791567939,-13645.1580174512
3.46895557156,-14179.7822720029
4.22433223939,2446622.80977454
3.50050728538,-14437.1577629189
5.58490950904,-12321.0329013237
2.97871995359,-11468.163584697
3.34935109423,-9079.45985096201
3.77137835964,-11309.716346023
4.05531548441,-14114.4983696533
3.22418981362,-11972.744692635
3.08651716304,-15342.5794727734
5.15027473747,-13728.038255473
4.07602601057,-15550.8741927258
4.75347772456,-8134.28761779204
3.29129304684,-11496.2600915175
4.90907270208,-8014.25473645769
4.62286077589,-10695.0468277551
3.52628010967,-9006.11673823097
3.90798238156,-14785.2089371878
3.15601126529,-8693.98139102878
3.88086404465,-11742.3532189358
3.52324506871,543966.520807303
3.94095187552,-15240.8003965096
8.16494514383,-10917.2015391749
4.14280139808,-12780.8264695133
3.67508334654,-12544.7935458816
3.58016628179,-14153.7559937002
7.04663941686,-17961.921047018
7.42082222061,-12454.93052347
3.38591189239,-9912.95983107177
5.93436635631,-11884.4375004291
3.55787488507,-12132.7488456914
3.29062169566,-11341.3638947116
8.03186949714,-10711.8968933964
4.91465439502,-13703.2424046494
7.85088576414,-11740.6228288524
4.01120463274,-13256.2598378977
3.19903254355,-9456.67784081192
7.50778492672,-14120.1046124655
2.76515260021,-11572.3965349135
4.60159502125,-12097.2309487664
4.61805123839,-11466.0247284613
4.85361716625,-8804.21257497395
4.58491026048,-11549.4433087157
3.33104094103,-14285.270485544
3.86961848404,-9611.06149347115
8.31239048809,-11807.3971058342
7.42830409548,-15660.5347403477
4.77451218058,-16529.2949145642
3.09250067726,-9598.40293743649
3.31850016979,-12768.0329787776
8.41255914611,-10678.8660162337
4.08817181094,-8530.96510389081
3.88772524973,-11006.3967116575
2.91435345817,-12152.0427834831
4.1467526797,-10982.5261545366
4.05018879213,-8535.86364569393
4.53494000979,-10442.8567219593
3.83385622471,-11222.812233024
7.91068469337,-14240.8692983602
4.72932061799,-13410.2749421835
4.24779184148,-13396.7807683927
4.44781872583,-11603.9279749887
3.92764469782,-9014.41146049454
2.88464421231,-9155.54615361022
5.73897572514,-13970.1970437258
6.85703833584,-11587.6442978546
2.56194576536,-11970.776590267
4.76299715688,-10849.4821947935
3.98416264906,-14029.2971848725
2.98375933059,-11011.6857516002
2.70716011423,-9413.51741321379
3.74987618105,-13907.0334164453
2.8118007342,-12443.3145258032
2.95313875763,-12411.0942883156
6.28705345193,-8922.80019854647
3.3036610983,-15061.8819336051
8.15436152253,-11884.5028375171
5.10101076716,-9840.40842836639
3.1291256945,-11379.6074873532
4.83726688146,-9863.39667163589
6.2867725126,-12551.2401108116
3.7254827214,-5912.279169794409
4.71015496909,-14488.1826229282
4.56940913657,-12114.0234963788
3.11918431622,-12940.5283100563
7.75199597558,-4680.3025839801
8.13381823482,-14070.5258553697
3.37380956222,-9940.6214695889
3.35521120696,-6356.18559595025
3.24776341569,-12328.5936273817
3.64003110314,-11113.8711150571
5.02624775406,-11804.1577253384
4.90176899313,-9398.33492769501
5.5617347272,-11316.7234740025
